state_abbr,state,year,yearend,topic,question,value,datavaluetype,datavalueunit,group_type,group
NY,New York,2021,2021,Diabetes,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause",1.7,Age-adjusted Rate,"cases per 100,000",Overall,Overall
NV,Nevada,2021,2021,Diabetes,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause",28.0,Number,Number,Age,Age 0-44
NE,Nebraska,2021,2021,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",72.0,Number,Number,Age,Age 0-44
NC,North Carolina,2021,2021,Diabetes,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause",2.6,Age-adjusted Rate,"cases per 100,000",Sex,Male
NV,Nevada,2021,2021,Diabetes,Diabetes among adults,9.9,Age-adjusted Prevalence,%,Sex,Female
NE,Nebraska,2021,2021,Diabetes,Diabetes among adults,18.4,Age-adjusted Prevalence,%,Race/Ethnicity,"Asian, non-Hispanic"
MT,Montana,2021,2021,Diabetes,Diabetes among adults,8.0,Crude Prevalence,%,Race/Ethnicity,Hispanic
NM,New Mexico,2021,2021,Diabetes,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause",2.7,Age-adjusted Rate,"cases per 100,000",Race/Ethnicity,Hispanic
NM,New Mexico,2021,2021,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",1647.0,Number,Number,Sex,Male
NY,New York,2021,2021,Diabetes,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause",1.3,Age-adjusted Rate,"cases per 100,000",Sex,Female
NV,Nevada,2021,2021,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",87.8,Crude Rate,"cases per 100,000",Sex,Female
NV,Nevada,2021,2021,Diabetes,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause",3.6,Age-adjusted Rate,"cases per 100,000",Race/Ethnicity,Hispanic
MT,Montana,2021,2021,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",152.9,Crude Rate,"cases per 100,000",Sex,Male
NJ,New Jersey,2021,2021,Diabetes,Diabetes among adults,11.5,Crude Prevalence,%,Race/Ethnicity,Hispanic
NJ,New Jersey,2021,2021,Diabetes,Diabetes among adults,7.4,Age-adjusted Prevalence,%,Race/Ethnicity,"Asian, non-Hispanic"
NC,North Carolina,2021,2021,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",197.0,Number,Number,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic"
NY,New York,2021,2021,Diabetes,Gestational diabetes among women with a recent live birth,11.1,Crude Prevalence,%,Overall,Overall
